"sku","product_sku","title","price","variation_status","attribute_watt","field_lumens","field_cct","field_cri","field_beam_angle","field_driver","field_dimming","field_cable","field_warranty_years"
"10102049-120W","HB-MILDBEAM","HB120ME2I-CM-4KD110","0","1","120","19200","4000","80","110","MW","0-10V","1M","5"
"10101014-200W","HB-MILDBEAM","HB200ME4I-CM-4KD110","0","1","200","32000","4000","80","110","MW","0-10V","1M","5"
"10103292-120W","HB-MILDBEAM","HB120ME2I-PS-4KD110-D","0","1","120","19200","4000","80","110","Sosen","Dali","1M","5"
"10103289-200W","HB-MILDBEAM","HB200ME4I-PS-4KD110-D","0","1","200","32000","4000","80","110","Sosen","Dali","1M","5"
"10105034-120W","HB-MILDBEAM","HB120ME2I-PY-4KD110","0","1","120","19200","4000","80","110","Sosen","0-10V","1M","5"
"10105039-200W","HB-MILDBEAM","HB200ME4I-PY-4KD110","0","1","200","32000","4000","80","110","Sosen","0-10V","1M","5"
"10104246-100W","HB-HEMERA","HB100HE2I-PY-4KD30","0","1","100","16000","4000","80","30","Sosen","No","3*2.5mm2 wire through","5"
"10103836-150W","HB-HEMERA","HB150HE3I-PY-4KD30","0","1","150","24000","4000","80","30","Sosen","No","3*2.5mm2 wire through","5"
"10103825-200W","HB-HEMERA","HB200HE4I-PY-4KD30","0","1","200","32000","4000","80","30","Sosen","No","3*2.5mm2 wire through","5"
"10104251-100W","HB-HEMERA","HB100HE2I-PY-5KD30","0","1","100","16000","5000","80","30","Sosen","No","3*2.5mm2 wire through","5"
"10103805-150W","HB-HEMERA","HB150HE3I-PY-5KD30","0","1","150","24000","5000","80","30","Sosen","No","3*2.5mm2 wire through","5"
"10103810-200W","HB-HEMERA","HB200HE4I-PY-5KD30","0","1","200","32000","5000","80","30","Sosen","No","3*2.5mm2 wire through","5"
"10103378-100W","HB-ASTRONAUT","HB100AE4I-PY-5KD110-D","0","1","100","16000","5000","80","110","Sosen","Dali","1M","5"
"10105019-100W","HB-ESERIES","HB100EE2M-PYS-4KD90","0","1","100","18000","4000","80","90","Sosen","Yes","1M","5"
"10105019-80W","HB-ESERIES","HB100EE2M-PYS-4KD90","0","1","80","18000","4000","80","90","Sosen","Yes","1M","5"
"10105019-60W","HB-ESERIES","HB100EE2M-PYS-4KD90","0","1","60","18000","4000","80","90","Sosen","Yes","1M","5"
"10105024-150W","HB-ESERIES","HB150EE4M-PYS-4KD90","0","1","150","27000","4000","80","90","Sosen","Yes","1M","5"
"10105024-120W","HB-ESERIES","HB150EE4M-PYS-4KD90","0","1","120","27000","4000","80","90","Sosen","Yes","1M","5"
"10105024-80W","HB-ESERIES","HB150EE4M-PYS-4KD90","0","1","80","27000","4000","80","90","Sosen","Yes","1M","5"
"10105029-200W","HB-ESERIES","HB200EE4M-PYS-4KD90","0","1","200","36000","4000","80","90","Sosen","Yes","1M","5"
"10105029-150W","HB-ESERIES","HB200EE4M-PYS-4KD90","0","1","150","36000","4000","80","90","Sosen","Yes","1M","5"
"10105029-100W","HB-ESERIES","HB200EE4M-PYS-4KD90","0","1","100","36000","4000","80","90","Sosen","Yes","1M","5"
"10105020-100W","HB-ESERIES","HB100EE2M-PYS-5KD90","0","1","100","18000","5000","80","90","Sosen","Yes","1M","5"
"10105020-80W","HB-ESERIES","HB100EE2M-PYS-5KD90","0","1","80","18000","5000","80","90","Sosen","Yes","1M","5"
"10105020-60W","HB-ESERIES","HB100EE2M-PYS-5KD90","0","1","60","18000","5000","80","90","Sosen","Yes","1M","5"
"10105025-150W","HB-ESERIES","HB150EE4M-PYS-5KD90","0","1","150","27000","5000","80","90","Sosen","Yes","1M","5"
"10105025-120W","HB-ESERIES","HB150EE4M-PYS-5KD90","0","1","120","27000","5000","80","90","Sosen","Yes","1M","5"
"10105025-80W","HB-ESERIES","HB150EE4M-PYS-5KD90","0","1","80","27000","5000","80","90","Sosen","Yes","1M","5"
"10105030-200W","HB-ESERIES","HB200EE4M-PYS-5KD90","0","1","200","36000","5000","80","90","Sosen","Yes","1M","5"
"10105030-150W","HB-ESERIES","HB200EE4M-PYS-5KD90","0","1","150","36000","5000","80","90","Sosen","Yes","1M","5"
"10105030-100W","HB-ESERIES","HB200EE4M-PYS-5KD90","0","1","100","36000","5000","80","90","Sosen","Yes","1M","5"
"10104267-100W","HB-FAIRYLAND","HB100FE8H-PN-4KD90","0","1","100","15000","4000","80","90","Moso","No","0.3M","5"
"10105404-100W","HB-FAIRYLAND","HB100FE8H-PY-4KD90","0","1","100","15000","4000","80","90","Sosen","1-10V","1M","5"
"10105405-150W","HB-FAIRYLAND","HB150FE0H-PY-4KD90","0","1","150","22500","4000","80","90","Sosen","1-10V","1M","5"
"10105406-200W","HB-FAIRYLAND","HB200FE2H-PY-4KD90","0","1","200","30000","4000","80","90","Sosen","1-10V","1M","5"
"10104268-100W","HB-FAIRYLAND","HB100FE8H-PN-5KD90","0","1","100","15000","5000","80","90","Moso","No","0.3M","5"
"10104193-100W","HB-FAIRYLAND","HB100FE8H-PC-5KD90","0","1","100","15000","5000","80","90","Sosen","No","0.3M","5"
"10104273-150W","HB-FAIRYLAND","HB150FE0H-PN-5KD90","0","1","150","22500","5000","80","90","Moso","No","0.3M","5"
"10103674-150W","HB-FAIRYLAND","HB150FE0H-PC-5KD90","0","1","150","22500","5000","80","90","Sosen","No","0.3M","5"
"10105917-150W","HB-FAIRYLAND","HB150FE0H-PY-5KD90","0","1","150","22500","5000","80","90","Sosen","1-10V","1M","5"
"10105918-200W","HB-FAIRYLAND","HB200FE2H-PY-5KD90","0","1","200","30000","5000","80","90","Sosen","1-10V","1M","5"
"10102642-100W","HB-CROSSOVER","HB100CE0H-PY-4KD120","0","1","100","15000","4000","80","120","Sosen","1-10V","1M","5"
"10102657-150W","HB-CROSSOVER","HB150CE2H-PY-4KD120","0","1","150","22500","4000","80","120","Sosen","1-10V","1M","5"
"10105471-150W","HB-CROSSOVER","HB150CE2H-PW-4KD120","0","1","150","22500","4000","80","120","Sosen","1-10V","0.3M","5"
"10105471-120W","HB-CROSSOVER","HB150CE2H-PW-4KD120","0","1","120","22500","4000","80","120","Sosen","1-10V","0.3M","5"
"10105471-100W","HB-CROSSOVER","HB150CE2H-PW-4KD120","0","1","100","22500","4000","80","120","Sosen","1-10V","0.3M","5"
"10105526-200W","HB-CROSSOVER","HB200CE4H-PW-4KD120","0","1","200","30000","4000","80","120","Sosen","1-10V","0.3M","5"
"10105526-150W","HB-CROSSOVER","HB200CE4H-PW-4KD120","0","1","150","30000","4000","80","120","Sosen","1-10V","0.3M","5"
"10105526-120W","HB-CROSSOVER","HB200CE4H-PW-4KD120","0","1","120","30000","4000","80","120","Sosen","1-10V","0.3M","5"
"10102643-100W","HB-CROSSOVER","HB100CE0H-PY-5KD120","0","1","100","15000","5000","80","120","Sosen","1-10V","1M","5"
"10102658-150W","HB-CROSSOVER","HB150CE2H-PY-5KD120","0","1","150","22500","5000","80","120","Sosen","1-10V","1M","5"
"10105472-150W","HB-CROSSOVER","HB150CE2H-PW-5KD120","0","1","150","22500","5000","80","120","Sosen","1-10V","0.3M","5"
"10105472-120W","HB-CROSSOVER","HB150CE2H-PW-5KD120","0","1","120","22500","5000","80","120","Sosen","1-10V","0.3M","5"
"10105472-100W","HB-CROSSOVER","HB150CE2H-PW-5KD120","0","1","100","22500","5000","80","120","Sosen","1-10V","0.3M","5"
"10105527-200W","HB-CROSSOVER","HB200CE4H-PW-5KD120","0","1","200","30000","5000","80","120","Sosen","1-10V","0.3M","5"
"10105527-150W","HB-CROSSOVER","HB200CE4H-PW-5KD120","0","1","150","30000","5000","80","120","Sosen","1-10V","0.3M","5"
"10105527-120W","HB-CROSSOVER","HB200CE4H-PW-5KD120","0","1","120","30000","5000","80","120","Sosen","1-10V","0.3M","5"
"10104223-100W","HB-CROSSOVER","HB100CE0H-PY-4KD90-D","0","1","100","15000","4000","80","90","Sosen","DALI","1M","5"
