sku,product_sku,price,variation_status,field_discharge_imax,field_discharge_in,field_fuse_rating,field_impulse_iimp,field_isccr,field_protection_level_up,field_voltage_uc
SURGYS-G140-F-197,SURGYS-G140-F,0,1,100,25,315,25,50,2.5,440
SURGYS-G140-F-198,SURGYS-G140-F,0,1,100,25,315,25,50,2.5,440
SURGYS-G140-F-199,SURGYS-G140-F,0,1,100,25,315,25,50,2.5,440
SURGYS-G50-FE-197,SURGYS-G50-FE,0,1,50,12.5,315,12.5,25,1.3,440
SURGYS-G50-FE-198,SURGYS-G50-FE,0,1,50,12.5,315,12.5,25,1.3,440
SURGYS-G50-FE-199,SURGYS-G50-FE,0,1,50,12.5,315,12.5,25,1.3,440
SURGYS-G40-FE-197,SURGYS-G40-FE,0,1,40,20,125,15,50,1.5,255
SURGYS-G40-FE-198,SURGYS-G40-FE,0,1,40,20,125,15,50,1.5,255
SURGYS-G40-FE-199,SURGYS-G40-FE,0,1,40,20,125,15,50,1.5,255
SURGYS-G70-197,SURGYS-G70,0,1,70,30,125,0,25,1.8,400
SURGYS-G70-198,SURGYS-G70,0,1,70,30,125,0,25,1.8,400
SURGYS-G70-199,SURGYS-G70,0,1,70,30,125,0,25,1.8,400
SURGYS-D40-197,SURGYS-D40,0,1,40,20,100,0,25,1.25,255
SURGYS-D40-198,SURGYS-D40,0,1,40,20,100,0,25,1.25,255
SURGYS-D40-199,SURGYS-D40,0,1,40,20,100,0,25,1.25,255
SURGYS-E10-197,SURGYS-E10,0,1,10,5,50,0,25,0.9,255
SURGYS-E10-198,SURGYS-E10,0,1,10,5,50,0,25,0.9,255
SURGYS-E10-199,SURGYS-E10,0,1,10,5,50,0,25,0.9,255
SURGYS-RS-200,SURGYS-RS,0,1,20,5,20,0,0,30,15
SURGYS-RS-201,SURGYS-RS,0,1,20,5,20,0,0,30,15
SURGYS-G51-PV-500V,SURGYS-G51-PV,0,1,40,15,0,0,1000,2,500
SURGYS-G51-PV-600V,SURGYS-G51-PV,0,1,40,15,0,0,1000,2,600
SURGYS-G51-PV-800V,SURGYS-G51-PV,0,1,40,15,0,0,1000,2,800
SURGYS-G51-PV-1000V,SURGYS-G51-PV,0,1,40,15,0,0,1000,2,1000
SURGYS-G51-PV-1500V,SURGYS-G51-PV,0,1,40,15,0,0,1000,2,1500
